商品链接,详情链接,店铺名称,地址,大图,原标题,高亮关键字标题,付款人数,显示的价格,添加时间
//item.taobao.com/item.htm?id=566732393199&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=566732393199&ns=1&abbucket=0#detail,恒立远盛科技,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/305470572/O1CN01YnWgho1G6132d3R6h_!!305470572.jpg,i3/i5/i7独显吃鸡游戏电脑主机组装台式LOL电脑全套网吧高配整机,i3/i5/i7独显吃鸡游戏<span class=H>电脑</span><span class=H>主机</span>组装台式LOL<span class=H>电脑</span>全套网吧高配整机,2.0万+人收货,998.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=566829880906&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=566829880906&ns=1&abbucket=0#detail,yang13556858507,广东 深圳,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/125921942/O1CN01nxFPeT1QDTesHgKcd_!!125921942.jpg,八核i5/i7独显吃鸡游戏电脑主机组装DIY办公LOL台式电脑全套整机,八核i5/i7独显吃鸡游戏<span class=H>电脑</span><span class=H>主机</span>组装DIY办公LOL台式<span class=H>电脑</span>全套整机,2.0万+人收货,1099.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=537053661486&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=537053661486&ns=1&abbucket=0#detail,baboy_z,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/124869574/O1CN01r0k8ju2KawPX1Kz6m_!!124869574.jpg,超薄一体机电脑吃鸡台式主机全套i5i7游戏独显27英寸迷你家用办公,超薄一体机<span class=H>电脑</span>吃鸡台式<span class=H>主机</span>全套i5i7游戏独显27英寸迷你家用办公,1.5万+人收货,1220.10,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=578573279648&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=578573279648&ns=1&abbucket=0#detail,多美科技,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1885140297/O1CN01Ej98141E449IcZxL9_!!1885140297.jpg,电脑台式全套i7高端吃鸡游戏高配1060水冷主机组装机网吧游戏型,<span class=H>电脑</span>台式全套i7高端吃鸡游戏高配1060水冷<span class=H>主机</span>组装机网吧游戏型,1.5万+人收货,1399.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=594063595197&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=594063595197&ns=1&abbucket=0#detail,luobo1918,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/25912565/O1CN01YCwVec1UooSDJEloo_!!25912565.jpg,i7八核i5吃鸡游戏水冷家用办公组装电脑主机台式高配整机全套网吧,i7八核i5吃鸡游戏水冷家用办公组装<span class=H>电脑</span><span class=H>主机</span>台式高配整机全套网吧,1.5万+人收货,998.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=590874097128&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=590874097128&ns=1&abbucket=0#detail,diy4590,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/135767386/O1CN01IbiHHw24Qpr29Wv7A_!!135767386.jpg,22-27寸超薄一体机电脑办公家用i3i5i7吃鸡游戏独显台式主机全套,22-27寸超薄一体机<span class=H>电脑</span>办公家用i3i5i7吃鸡游戏独显台式<span class=H>主机</span>全套,1.0万+人收货,1269.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=578395602481&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=578395602481&ns=1&abbucket=0#detail,伟大侠1,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2018570452/O1CN01mudHzV1FD3WLsiJ5I_!!2018570452.jpg,i7级e5办公八核高端电脑吃鸡游戏型家用高配组装台式主机整机全套,i7级e5办公八核高端<span class=H>电脑</span>吃鸡游戏型家用高配组装台式<span class=H>主机</span>整机全套,9000+人收货,1180.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=520923281738&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=520923281738&ns=1&abbucket=0#detail,乔帮主粉丝88,广东 深圳,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1040732687/TB2GlXPtpXXXXapXXXXXXXXXXXX_!!1040732687.jpg,超薄一体机电脑20-27寸i3i5i7四核独显家用游戏台式办公主机全套,超薄一体机<span class=H>电脑</span>20-27寸i3i5i7四核独显家用游戏台式办公<span class=H>主机</span>全套,8500+人收货,1188.16,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=578245716002&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=578245716002&ns=1&abbucket=0#detail,a240401241,广东 深圳,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1756645538/O1CN01eGZOmV1qmRxESlkHn_!!1756645538.jpg,i5/i7八核1060吃鸡台式电脑主机游戏办公组装电脑DIY全套整机高配,i5/i7八核1060吃鸡台式<span class=H>电脑</span><span class=H>主机</span>游戏办公组装<span class=H>电脑</span>DIY全套整机高配,8000+人收货,1088.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=571604650526&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=571604650526&ns=1&abbucket=0#detail,武汉万腾科技,湖北 武汉,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2810007902/O1CN01g9mA2X28FAE5aN05k_!!2810007902.png,【特价】i5吃鸡游戏办公组装电脑台式主机+显示器全套整机 i7高配,【特价】i5吃鸡游戏办公组装<span class=H>电脑</span>台式<span class=H>主机</span>+显示器全套整机 i7高配,7000+人收货,1299.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=574977772301&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=574977772301&ns=1&abbucket=0#detail,靓藓果,广东 深圳,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3034987077/O1CN01r5xi4i229JRBfetAs_!!3034987077.jpg,水冷i7级八核i5吃鸡游戏组装电脑主机家用台式机DIY整机全套高配,水冷i7级八核i5吃鸡游戏组装<span class=H>电脑</span><span class=H>主机</span>家用台式机DIY整机全套高配,7000+人收货,1588.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=581316602637&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=581316602637&ns=1&abbucket=0,然硕数码专营店,广东 深圳,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/741509377/O1CN01FqFYJ92J8iS8grcHW_!!0-item_pic.jpg,i7级八核游戏独显16G台式机LOL组装电脑主机吃鸡游戏办公整机全套,i7级八核游戏独显16G台式机LOL组装<span class=H>电脑</span><span class=H>主机</span>吃鸡游戏办公整机全套,6500+人收货,1699.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=576312147691&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=576312147691&ns=1&abbucket=0#detail,isobel_tam,湖北 武汉,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/131218572/O1CN012EpYUy2DC1brwNxYv_!!131218572.jpg,酷睿i7高配1060吃鸡水冷电脑主机组装高端电脑台式全套网吧游戏,酷睿i7高配1060吃鸡水冷<span class=H>电脑</span><span class=H>主机</span>组装高端<span class=H>电脑</span>台式全套网吧游戏,5500+人收货,1899.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=566603706076&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=566603706076&ns=1&abbucket=0#detail,小小红豆13,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1916052423/O1CN01n2qvVj1TlmAuhPFJL_!!1916052423.jpg,八核i7/1060高配电脑主机LOL吃鸡游戏办公家用组装机台式全套整机,八核i7/1060高配<span class=H>电脑</span><span class=H>主机</span>LOL吃鸡游戏办公家用组装机台式全套整机,5000+人收货,1180.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=563089833062&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=563089833062&ns=1&abbucket=0#detail,cntsdtsd,广东 深圳,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/84767494/O1CN01O6cod425EIbtSUIHJ_!!84767494.jpg,四核八核i7吃鸡游戏组装电脑主机DIY独显LOL台式机办公i5整机全套,四核八核i7吃鸡游戏组装<span class=H>电脑</span><span class=H>主机</span>DIY独显LOL台式机办公i5整机全套,5000+人收货,898.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=521603418228&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=521603418228&ns=1&abbucket=0#detail,gaozhuxian0,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/651615231/O1CN01ILLlQL1oVqMDnDbmg_!!651615231.jpg,水冷i7八核高配电脑主机LOL吃鸡游戏家用网吧组装机台式全套整机,水冷i7八核高配<span class=H>电脑</span><span class=H>主机</span>LOL吃鸡游戏家用网吧组装机台式全套整机,4836人收货,1280.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=585333954554&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=585333954554&ns=1&abbucket=0,神码数码专营店,广东 惠州,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/766439547/O1CN01DPYFbV2KOZmKMQseb_!!0-item_pic.jpg,i5/i7高配吃鸡游戏电脑主机组装台式电脑整机全套送22至32英寸曲面显示器主播办公家用设计台式主机diy兼容机,i5/i7高配吃鸡游戏<span class=H>电脑</span><span class=H>主机</span>组装台式<span class=H>电脑</span>整机全套送22至32英寸曲面显示器主播办公家用设计台式<span class=H>主机</span>diy兼容机,4206人收货,1899.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=587282529567&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=587282529567&ns=1&abbucket=0,同晶数码专营店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1903088865/O1CN01Bf85C22FMDfOK5e4m_!!0-item_pic.jpg,i5/GTX1060 高配吃鸡游戏电脑主机i7DIY组装机家用办公台式全套dnf搬砖3D设计渲染电竞主播LOL网咖游戏型整机,i5/GTX1060 高配吃鸡游戏<span class=H>电脑</span><span class=H>主机</span>i7DIY组装机家用办公台式全套dnf搬砖3D设计渲染电竞主播LOL网咖游戏型整机,3576人收货,1369.00,2019-07-18 17:46:28
//detail.tmall.com/item.htm?id=532034800285&ns=1&abbucket=0&on_comment=1,//detail.tmall.com/item.htm?id=532034800285&ns=1&abbucket=0,ipason攀升官方旗舰店,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1652528654/O1CN01vxMXXE2Dna5tmXsgx_!!0-item_pic.jpg,攀升i5 8500升9400F/GTX1060升1660台式组装电脑主机吃鸡高配DIY网吧电竞游戏整机全套,攀升i5 8500升9400F/GTX1060升1660台式组装<span class=H>电脑</span><span class=H>主机</span>吃鸡高配DIY网吧电竞游戏整机全套,3097人收货,3599.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=563918358431&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=563918358431&ns=1&abbucket=0#detail,伍刘诗渝,湖北 武汉,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/1965792497/O1CN01qIPeR51UJfVL6m24F_!!1965792497.jpg,二手电脑台式全套戴尔惠普联想品牌主机i3 i5办公DNF搬砖游戏主机,二手<span class=H>电脑</span>台式全套戴尔惠普联想品牌<span class=H>主机</span>i3 i5办公DNF搬砖游戏<span class=H>主机</span>,3086人收货,288.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=589669384722&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=589669384722&ns=1&abbucket=0#detail,明惠乐,广东 广州,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/834046142/O1CN010Ed2RV1vF5AojGXZP_!!834046142.jpg,水冷i7八核高配组装电脑主机DIY独显吃鸡游戏LOL台式办公全套整机,水冷i7八核高配组装<span class=H>电脑</span><span class=H>主机</span>DIY独显吃鸡游戏LOL台式办公全套整机,3005人收货,1278.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=538726656063&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=538726656063&ns=1&abbucket=0#detail,tmtiantian,湖北 武汉,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/22626699/TB23gM4sTlYBeNjSszcXXbwhFXa_!!22626699.jpg,二手台式电脑联想品牌全套四核办公电脑游戏主机独显整套i3 i5 i7,二手台式<span class=H>电脑</span>联想品牌全套四核办公<span class=H>电脑</span>游戏<span class=H>主机</span>独显整套i3 i5 i7,2635人收货,328.00,2019-07-18 17:46:28
//item.taobao.com/item.htm?id=550214181750&ns=1&abbucket=0&on_comment=1,//item.taobao.com/item.htm?id=550214181750&ns=1&abbucket=0#detail,qdjf521,湖北 武汉,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/23746709/O1CN01AE9MuT1zQlk7pLE76_!!23746709.jpg,电脑台式全套主机高配台式组装整机游戏吃鸡i7水冷送显示器网吧,<span class=H>电脑</span>台式全套<span class=H>主机</span>高配台式组装整机游戏吃鸡i7水冷送显示器网吧,2635人收货,2199.00,2019-07-18 17:46:28
